name,longitude,latitude,prov,month,verbatimcoordinatesystem,day,occurrenceid,identificationqualifier,coordinateuncertaintyinmeters,year,basisofrecord,geodeticdatum,georeferenceprotocol,stateprovince,verbatimlocality,references,license,georeferenceverificationstatus,eventdate,individualcount,catalognumber,locality,locationremarks,occurrenceremarks,coordinateprecision
Marmota vancouverensis,-124.8,48.9606,vertnet,6,decimal degrees,30,http://arctos.database.museum/guid/MVZ:Mamm:12090?seid=870037,A,28653,1910,PreservedSpecimen,North American Datum 1927,MaNIS georeferencing guidelines,British Columbia,"Vancouver Island, Golden Eagle Basin, 20 mi S Alberni",http://arctos.database.museum/guid/MVZ:Mamm:12090,http://creativecommons.org/publicdomain/zero/1.0/,unverified,6/30/1910,1,MVZ:Mamm:12090,"Golden Eagle Basin, 20 mi S Alberni, Vancouver Island",NA,NA,NA
Marmota vancouverensis,-124.8,48.9606,vertnet,7,decimal degrees,2,http://arctos.database.museum/guid/MVZ:Mamm:12091?seid=488309,A,28653,1910,PreservedSpecimen,North American Datum 1927,MaNIS georeferencing guidelines,British Columbia,"Vancouver Island, King Solomon Basin, 20 mi S Alberni",http://arctos.database.museum/guid/MVZ:Mamm:12091,http://creativecommons.org/publicdomain/zero/1.0/,unverified,7/2/1910,1,MVZ:Mamm:12091,"King Solomon Basin, 20 mi S Alberni, Vancouver Island",NA,NA,NA
Marmota vancouverensis,-124.8,48.9606,vertnet,7,decimal degrees,7,http://arctos.database.museum/guid/MVZ:Mamm:12092?seid=217176,A,28653,1910,PreservedSpecimen,North American Datum 1927,MaNIS georeferencing guidelines,British Columbia,"Vancouver Island, King Solomon Basin, 20 mi S Alberni",http://arctos.database.museum/guid/MVZ:Mamm:12092,http://creativecommons.org/publicdomain/zero/1.0/,unverified,7/7/1910,1,MVZ:Mamm:12092,"King Solomon Basin, 20 mi S Alberni, Vancouver Island",NA,NA,NA
Marmota vancouverensis,-124.645236,49.131339,vertnet,7,decimal degrees,7,http://arctos.database.museum/guid/MVZ:Mamm:12093?seid=1534805,A,936,1910,PreservedSpecimen,North American Datum 1927,GeoLocate,British Columbia,"Vancouver Island, Mt. Douglas, 20 mi S Alberni",http://arctos.database.museum/guid/MVZ:Mamm:12093,http://creativecommons.org/publicdomain/zero/1.0/,unverified,7/7/1910,1,MVZ:Mamm:12093,"Douglas Peak, 20 mi S Alberni, Vancouver Island","Mt. Douglas is now called Douglas Peak. Located S of Alberni, but not a full 20 mi maybe because of different roads in 1910.",NA,NA
Marmota vancouverensis,-124.645236,49.131339,vertnet,7,decimal degrees,8,http://arctos.database.museum/guid/MVZ:Mamm:12095?seid=63529,A,936,1910,PreservedSpecimen,North American Datum 1927,GeoLocate,British Columbia,"Vancouver Island, Mt. Douglas, 20 mi S Alberni",http://arctos.database.museum/guid/MVZ:Mamm:12095,http://creativecommons.org/publicdomain/zero/1.0/,unverified,7/8/1910,1,MVZ:Mamm:12095,"Douglas Peak, 20 mi S Alberni, Vancouver Island","Mt. Douglas is now called Douglas Peak. Located S of Alberni, but not a full 20 mi maybe because of different roads in 1910.",NA,NA
Marmota vancouverensis,-124.645236,49.131339,vertnet,7,decimal degrees,9,http://arctos.database.museum/guid/MVZ:Mamm:12097?seid=348540,A,936,1910,PreservedSpecimen,North American Datum 1927,GeoLocate,British Columbia,"Vancouver Island, Mt. Douglas, 20 mi S Alberni",http://arctos.database.museum/guid/MVZ:Mamm:12097,http://creativecommons.org/publicdomain/zero/1.0/,unverified,7/9/1910,1,MVZ:Mamm:12097,"Douglas Peak, 20 mi S Alberni, Vancouver Island","Mt. Douglas is now called Douglas Peak. Located S of Alberni, but not a full 20 mi maybe because of different roads in 1910.",NA,NA
Marmota vancouverensis,-124.645236,49.131339,vertnet,7,decimal degrees,14,http://arctos.database.museum/guid/MVZ:Mamm:12098?seid=1355502,A,936,1910,PreservedSpecimen,North American Datum 1927,GeoLocate,British Columbia,"Vancouver Island, Mt. Douglas, 20 mi S Alberni",http://arctos.database.museum/guid/MVZ:Mamm:12098,http://creativecommons.org/publicdomain/zero/1.0/,unverified,7/14/1910,1,MVZ:Mamm:12098,"Douglas Peak, 20 mi S Alberni, Vancouver Island","Mt. Douglas is now called Douglas Peak. Located S of Alberni, but not a full 20 mi maybe because of different roads in 1910.",NA,NA
Marmota vancouverensis,-124.645236,49.131339,vertnet,7,decimal degrees,15,http://arctos.database.museum/guid/MVZ:Mamm:12099?seid=405665,A,936,1910,PreservedSpecimen,North American Datum 1927,GeoLocate,British Columbia,"Vancouver Island, Mt. Douglas, 20 mi S Alberni",http://arctos.database.museum/guid/MVZ:Mamm:12099,http://creativecommons.org/publicdomain/zero/1.0/,unverified,7/15/1910,1,MVZ:Mamm:12099,"Douglas Peak, 20 mi S Alberni, Vancouver Island","Mt. Douglas is now called Douglas Peak. Located S of Alberni, but not a full 20 mi maybe because of different roads in 1910.",NA,NA
Marmota vancouverensis,-123.3458,48.4917,vertnet,7,decimal degrees,8,http://arctos.database.museum/guid/MVZ:Mamm:12094?seid=59060,A,3192,1910,PreservedSpecimen,North American Datum 1927,MaNIS georeferencing guidelines,British Columbia,"Vancouver Island, Mt. Douglas, 20 mi S Alberni",http://arctos.database.museum/guid/MVZ:Mamm:12094,http://creativecommons.org/publicdomain/zero/1.0/,unverified,7/8/1910,1,MVZ:Mamm:12094,"Mt. Douglas, 20 mi S Alberni, Vancouver Island",NA,NA,NA
Marmota vancouverensis,-124.645236,49.131339,vertnet,7,decimal degrees,8,http://arctos.database.museum/guid/MVZ:Mamm:12096?seid=219953,A,936,1910,PreservedSpecimen,North American Datum 1927,GeoLocate,British Columbia,"Vancouver Island, Mt. Douglas, 20 mi S Alberni",http://arctos.database.museum/guid/MVZ:Mamm:12096,http://creativecommons.org/publicdomain/zero/1.0/,unverified,7/8/1910,1,MVZ:Mamm:12096,"Douglas Peak, 20 mi S Alberni, Vancouver Island","Mt. Douglas is now called Douglas Peak. Located S of Alberni, but not a full 20 mi maybe because of different roads in 1910.",NA,NA
